,GDPpc,Region,IncomeGroup,Population,location,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
116,4957.458222264079,Sub-Saharan Africa,Upper middle,2494530.0,Namibia,NAM,141164.0,117632.0,23532.0,2142.0,2459.0,5.56,4.63,0.93,968.0
117,12579.595105586399,East Asia & Pacific,High,287800.0,New Caledonia,NCL,111259.0,59316.0,51943.0,2240.0,822.0,38.97,20.78,18.19,2879.0
118,553.89505038138,Sub-Saharan Africa,Low,23310715.0,Niger,NER,255587.0,224803.0,30784.0,20602.0,6938.0,1.06,0.93,0.13,287.0
119,2229.85869624463,Sub-Saharan Africa,Lower middle,200963599.0,Nigeria,NGA,3397472.0,2241662.0,1155810.0,58913.0,63031.0,1.65,1.09,0.56,306.0
120,1912.9037453786898,Latin America & Caribbean,Lower middle,6545502.0,Nicaragua,NIC,167500.0,167500.0,444546.0,20602.0,82.0,2.53,2.53,9.22,12.0
121,52295.0390498713,Europe & Central Asia,High,17344874.0,Netherlands,NLD,15512950.0,10042216.0,6014394.0,2240.0,150534.0,90.53,58.61,35.1,8785.0
122,75419.63486880889,Europe & Central Asia,High,5347896.0,Norway,NOR,4183148.0,2629008.0,1554140.0,88155.0,50472.0,77.16,48.49,28.67,9310.0
123,1071.0507605540402,South Asia,Lower middle,28608710.0,Nepal,NPL,3356335.0,2601316.0,755019.0,2240.0,9611.0,11.52,8.93,2.59,330.0
124,9396.98196681072,East Asia & Pacific,High,12581.0,Nauru,NRU,9313.0,7499.0,1814.0,168.0,228.0,85.96,69.22,16.74,21045.0
125,41557.8024107675,East Asia & Pacific,High,4979300.0,New Zealand,NZL,1149608.0,705062.0,444546.0,20602.0,18429.0,23.84,14.62,9.22,3822.0
126,15343.062004310601,Middle East & North Africa,High,4974986.0,Oman,OMN,1064804.0,854274.0,213569.0,3650.0,25726.0,20.85,16.73,4.18,5038.0
127,1284.70204090039,South Asia,Lower middle,216565318.0,Pakistan,PAK,13484364.0,10833547.0,3566547.0,266959.0,248354.0,6.1,4.9,1.61,1124.0
128,15731.0160348471,Latin America & Caribbean,High,4246439.0,Panama,PAN,1534248.0,1007646.0,526602.0,16199.0,13229.0,35.56,23.35,12.2,3066.0
129,6977.695783553821,Latin America & Caribbean,Upper middle,32510453.0,Peru,PER,7233445.0,4296611.0,2936834.0,37723.0,82631.0,21.94,13.03,8.91,2506.0
130,3485.08421835861,East Asia & Pacific,Lower middle,108116615.0,Philippines,PHL,10443407.0,7810469.0,2632938.0,207053.0,196628.0,9.53,7.13,2.4,1794.0
131,2829.1703089683697,East Asia & Pacific,Lower middle,8776109.0,Papua New Guinea,PNG,51170.0,50460.0,710.0,16199.0,1234.0,0.57,0.56,0.01,138.0
132,15694.7386279643,Europe & Central Asia,High,37965475.0,Poland,POL,29242214.0,16890799.0,13293459.0,353461.0,253480.0,77.27,44.63,35.12,6698.0
133,23213.9781989813,Europe & Central Asia,High,10286263.0,Portugal,PRT,8699066.0,5678885.0,3444900.0,218727.0,129452.0,85.31,55.69,33.78,12695.0
134,5414.79913793258,Latin America & Caribbean,Upper middle,7044636.0,Paraguay,PRY,660351.0,526960.0,133391.0,2556.0,4825.0,9.26,7.39,1.87,676.0
135,14323.820820245,East Asia & Pacific,High,279287.0,French Polynesia,PYF,132540.0,71242.0,61298.0,405.0,882.0,47.18,25.36,21.82,3140.0
136,62088.0618276987,Middle East & North Africa,High,2832067.0,Qatar,QAT,3145062.0,1714847.0,1430215.0,36018.0,31285.0,109.16,59.52,49.64,10859.0
137,12913.073955785401,Europe & Central Asia,High,19366221.0,Romania,ROU,8937289.0,4711630.0,4519003.0,20564.0,22390.0,46.46,24.49,23.49,1164.0
138,820.0252416581591,Sub-Saharan Africa,Low,12626950.0,Rwanda,RWA,578569.0,350400.0,228169.0,132.0,6154.0,4.47,2.71,1.76,475.0
139,23139.798656121402,Middle East & North Africa,High,34268528.0,Saudi Arabia,SAU,17880870.0,16453.0,11533.0,208927.0,135395.0,51.36,7.51,5.26,3889.0
140,441.505603374484,Sub-Saharan Africa,Low,42813238.0,Sudan,SDN,677957.0,554095.0,123862.0,6534.0,5405.0,1.55,1.26,0.28,123.0
141,1446.8309649940802,Sub-Saharan Africa,Lower middle,16296364.0,Senegal,SEN,664826.0,515344.0,149482.0,7200.0,2475.0,3.97,3.08,0.89,148.0
142,65233.28243923019,East Asia & Pacific,High,5703569.0,Singapore,SGP,5365803.0,3271610.0,2094193.0,37092.0,48114.0,91.72,55.92,35.8,8224.0
143,2373.6324704257604,East Asia & Pacific,Lower middle,669823.0,Solomon Islands,SLB,21742.0,18050.0,3692.0,12965.0,147.0,3.17,2.63,0.54,214.0
144,527.5336343991111,Sub-Saharan Africa,Low,7813215.0,Sierra Leone,SLE,97315.0,82145.0,15170.0,1928.0,906.0,1.22,1.03,0.19,114.0
145,4187.2500311069,Latin America & Caribbean,Lower middle,6453553.0,El Salvador,SLV,2674605.0,1585582.0,1089023.0,40206.0,29721.0,41.24,24.45,16.79,4582.0
